crop,expected_yield
rice,25–30 quintals/acre
wheat,20–25 quintals/acre
maize,18–22 quintals/acre
jute,20–25 quintals/acre
barley,10–12 quintals/acre
cotton,10–12 quintals/acre
soybean,12–15 quintals/acre
gram,8–10 quintals/acre
sunflower,10–12 quintals/acre
groundnut,12–15 quintals/acre
pulses,6–8 quintals/acre
millets,6–8 quintals/acre
sorghum,12–14 quintals/acre
cashew,8–10 kg/tree
rubber,1500–2000 kg/acre
coffee,7–9 quintals/acre
tea,12–15 quintals/acre
bajra,7–9 quintals/acre
watermelon,200–250 quintals/acre
cumin,4–6 quintals/acre
sugarcane,300–350 quintals/acre
banana,250–300 bunches/acre
mustard,8–10 quintals/acre
vegetables,80–120 quintals/acre
paddy,28–32 quintals/acre
turmeric,80–100 quintals/acre
peas,6–8 quintals/acre
onion,100–120 quintals/acre
watermelon,200–250 quintals/acre
melon,180–220 quintals/acre
cucumber,120–150 quintals/acre
summer_maize,15–18 quintals/acre
groundnut,12–15 quintals/acre
sunflower,10–12 quintals/acre
okra,80–100 quintals/acre
vegetables,80–120 quintals/acre
coconut,80–100 nuts/tree/year
pineapple,180–220 quintals/acre
banana,250–300 bunches/acre
rice_zaid,20–25 quintals/acre
