soil,season,rainfall,crop
alluvial,kharif,high,rice
alluvial,kharif,medium,maize
alluvial,kharif,low,jute
alluvial,rabi,medium,wheat
alluvial,rabi,low,barley
black,kharif,medium,cotton
black,kharif,low,soybean
black,rabi,low,gram
black,rabi,medium,sunflower
red,kharif,medium,groundnut
red,kharif,low,pulses
red,rabi,low,millets
red,rabi,medium,sorghum
laterite,kharif,high,cashew
laterite,kharif,medium,rubber
laterite,rabi,medium,coffee
laterite,rabi,low,tea
sandy,kharif,low,bajra
sandy,kharif,medium,watermelon
sandy,rabi,low,barley
sandy,rabi,medium,cumin
loamy,kharif,high,sugarcane
loamy,kharif,medium,banana
loamy,kharif,low,maize
loamy,rabi,medium,mustard
loamy,rabi,low,vegetables
clay,kharif,high,paddy
clay,kharif,medium,turmeric
clay,rabi,medium,peas
clay,rabi,low,onion
alluvial,zaid,low,watermelon
alluvial,zaid,medium,melon
alluvial,zaid,low,cucumber
alluvial,zaid,medium,summer_maize
black,zaid,low,groundnut
black,zaid,medium,sunflower
black,zaid,low,okra
red,zaid,low,groundnut
red,zaid,medium,vegetables
laterite,zaid,medium,coconut
laterite,zaid,low,pineapple
sandy,zaid,low,watermelon
sandy,zaid,medium,cucumber
loamy,zaid,medium,banana
loamy,zaid,low,vegetables
clay,zaid,medium,rice_zaid
clay,zaid,low,okra
